Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
"[Valid consent submission returns successful no-content response]","Validate that the consents endpoint processes a fully valid request and completes the business flow with a successful no-content response.","Valid authorization token is available.\nRedis contains evidence that consent was shown to the customer.\nCustomer Agreement dependencies are available.\nValid consent test data is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,"Test Case Steps","1. Send POST request to ms-lending-bs/v1/consents with valid authorization header.\n2. Include body with consents array containing idConsent and isAccepted.\n3. Verify request is accepted and processed end-to-end.","1. Response status is 200.\n2. Response body is empty according to documented contract.\n3. Consent flow is processed without validation or dependency errors.",,,,Automated,N/A,"Joel Narro"
"[Previously managed consent triggers update flow]","Validate that when consent was previously managed, the flow executes an update in Customer Agreement.","Valid authorization token.\nRedis confirms consent was shown.\nRetrieve indicates consent was previously managed.\nUpdate dependency is available.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid consent payload.\n2. Configure retrieve dependency to return previously managed consent.\n3. Observe downstream behavior for managed consent path.","1. Response status is 200.\n2. Update flow is triggered against customer-agreements/update.\n3. No evaluate creation flow is triggered for the same consent.",,,,Automated,N/A,"Joel Narro"
"[First-time consent triggers evaluate creation flow]","Validate that when consent was not previously managed, the flow executes creation in Customer Agreement evaluate.","Valid authorization token.\nRedis confirms consent was shown.\nRetrieve indicates no previous management.\nEvaluate dependency is available.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid consent payload.\n2. Configure retrieve dependency to indicate first-time consent.\n3. Observe downstream behavior for first-time path.","1. Response status is 200.\n2. Evaluate flow is triggered against customer-agreements/evaluate.\n3. No update flow is triggered for the same consent.",,,,Automated,N/A,"Joel Narro"
"[Missing authorization header is rejected]","Validate behavior when documented authorization header is not provided.","Endpoint is available.\nDo not include authorization header.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Security,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request to ms-lending-bs/v1/consents without authorization header.\n2. Include syntactically valid body with consents array.\n3. Capture response and error payload if present.","1. Request is rejected due to missing authorization requirement.\n2. Error response structure is consistent and traceable.\n3. Returned status code is documented by implementation and flagged if undocumented.",,,,Automated,N/A,"Joel Narro"
"[Empty consents array is rejected by payload validation]","Validate that an empty consents array is not accepted.","Valid authorization token.\nPayload with empty consents array is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header.\n2. Use body: {""consents"":[]}.\n3. Capture validation response.","1. Request fails payload validation.\n2. Error response indicates invalid consents content.\n3. No downstream retrieve/update/evaluate calls are executed.",,,,Automated,N/A,"Joel Narro"
"[Consent item without idConsent is rejected]","Validate that each consents array item requires idConsent.","Valid authorization token.\nPayload with item missing idConsent is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header.\n2. Use body with consents item missing idConsent.\n3. Capture validation response.","1. Request fails payload validation.\n2. Error response identifies missing required field.\n3. No downstream processing is triggered.",,,,Automated,N/A,"Joel Narro"
"[Consent item without isAccepted is rejected]","Validate that each consents array item requires isAccepted.","Valid authorization token.\nPayload with item missing isAccepted is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header.\n2. Use body with consents item missing isAccepted.\n3. Capture validation response.","1. Request fails payload validation.\n2. Error response identifies missing required field.\n3. No downstream processing is triggered.",,,,Automated,N/A,"Joel Narro"
"[Invalid data type in isAccepted is rejected]","Validate that isAccepted with an invalid data type is rejected.","Valid authorization token.\nPayload with isAccepted as string type is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,Medium,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header.\n2. Use body where isAccepted is not a boolean value.\n3. Capture validation response.","1. Request fails payload validation for invalid data type.\n2. Error response structure remains consistent.\n3. No downstream processing is executed.",,,,Automated,N/A,"Joel Narro"
"[Redis indicates consent was not shown to customer]","Validate handling when Redis does not confirm that consent was shown to the customer.","Valid authorization token.\nRedis dependency is controlled to return not shown.\nValid payload is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,Critical,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header and valid body.\n2. Force Redis lookup result to indicate consent was not shown.\n3. Capture service response and downstream calls.","1. Request is not processed as a valid consent management flow.\n2. No update/evaluate action is executed.\n3. Returned error behavior is documented by implementation and flagged if undocumented.",,,,Manual,N/A,"Joel Narro"
"[Retrieve dependency timeout is handled without contract break]","Validate robustness when customer-agreements/retrieve times out.","Valid authorization token.\nRedis confirms consent was shown.\nRetrieve timeout simulation is configured.\nValid payload is prepared.","Technical Tests > Backend > API Master Repository",Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,"Test Case Steps","1. Send POST request with valid authorization header and valid body.\n2. Simulate timeout in customer-agreements/retrieve.\n3. Capture response, latency behavior, and traceability data.","1. Service handles downstream timeout gracefully.\n2. Response does not violate API contract structure.\n3. Incident is observable through logs/trace identifiers for troubleshooting.",,,,Manual,N/A,"Joel Narro"
